"State_Name","District","Sub-District","Financial_Year","Month","Indicator_Code","Indicator_Name","Code_And_Section","Reported_Value_for_Public_Facility","Reported_Value_for_Private_Facility","Reported_Value_for_Rural","Reported_Value_for_Urban"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.1","Total number of pregnant women registered for ANC","M1 [Ante Natal Care (ANC)]","216","NA","216","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.1.1","Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)","M1 [Ante Natal Care (ANC)]","207","NA","207","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.2.1","Number of PW given TT1/ Td1","M1 [Ante Natal Care (ANC)]","190","NA","190","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.2.2","Number of PW given TT2 / Td2","M1 [Ante Natal Care (ANC)]","173","NA","173","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.2.3","Number of PW given TT Booster/ Td Booster","M1 [Ante Natal Care (ANC)]","29","NA","29","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.2.4","Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets","M1 [Ante Natal Care (ANC)]","219","NA","219","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.2.5","Number of PW provided full Course 360 Calcium tablets","M1 [Ante Natal Care (ANC)]","219","NA","219","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.2.6","Number of PW given one Albendazole tablet after 1st trimester","M1 [Ante Natal Care (ANC)]","198","NA","198","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.2.7","Number of PW received 4 or more ANC check ups","M1 [Ante Natal Care (ANC)]","188","NA","188","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.2.8","Number of PW given ANC Corticosteroids in Pre Term Labour","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.3.1","New cases of PW with hypertension detected","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.3.1.a","Out of the new cases of PW with hypertension detected, cases managed at institution","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.3.2","Number of Eclampsia cases managed during delivery","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.4.1","Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs","M1 [Ante Natal Care (ANC)]","188","NA","188","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.4.2","Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9)","M1 [Ante Natal Care (ANC)]","131","NA","131","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.4.3","Number of PW having Hb level<7 (out of total tested cases)","M1 [Ante Natal Care (ANC)]","5","NA","5","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.4.4","Number of PW having severe anaemia (Hb < 7) treated","M1 [Ante Natal Care (ANC)]","5","NA","5","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.5.1","Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test)","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.5.2","Number of PW tested positive for GDM","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.5.3","Number of PW given insulin out of total tested positive for GDM","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.6.1.a","Number of PW tested using POC test for Syphilis","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.6.1.b","Out of above,number of PW found sero positive for Syphilis","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.6.2.a","Number of pregnant women tested for Syphilis","M1 [Ante Natal Care (ANC)]","126","NA","126","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.6.2.b","Number of pregnant women tested found sero positive for Syphilis","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.6.2.c","Number of syphilis positive pregnanat women treated for Syphilis","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.6.2.d","Number of babies daignosed with Congenital Syphilis","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","1.6.2.e","Number of babies treated for Congenital Syphilis","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","2.1.1.a","Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife)","M2 [Deliveries]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","2.1.1.b","Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.)","M2 [Deliveries]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","2.1.2","Number of PW given Tablet Misoprostol during home delivery","M2 [Deliveries]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","2.1.3","Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery","M2 [Deliveries]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","2.2","Number of Institutional Deliveries conducted (Including C-Sections)","M2 [Deliveries]","131","NA","131","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","2.2.1","Out of total institutional deliveries number of women discharged within 48 hours of delivery","M2 [Deliveries]","14","NA","14","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","2.2.2","Number of newborns received 6 HBNC  visits after Institutional Delivery","M2 [Deliveries]","154","NA","154","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","3.1","Total C -Section deliveries performed","M3 [Number of Caesarean (C-Section) deliveries]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","3.1.1","C-sections, performed at night (8 PM- 8 AM)","M3 [Number of Caesarean (C-Section) deliveries]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","4.1.1.a","Live Birth - Male","M4 [Pregnancy outcome & details of new-born]","69","NA","69","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","4.1.1.b","Live Birth - Female","M4 [Pregnancy outcome & details of new-born]","61","NA","61","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","4.1.2","Number of Pre term newborns (< 37 weeks of pregnancy)","M4 [Pregnancy outcome & details of new-born]","2","NA","2","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","4.1.3","Still Birth","M4 [Pregnancy outcome & details of new-born]","3","NA","3","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","4.2","Abortion (spontaneous)","M4 [Pregnancy outcome & details of new-born]","4","NA","4","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","4.3.1.a","MTP up to 12 weeks of pregnancy","M4 [Pregnancy outcome & details of new-born]","2","NA","2","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","4.3.1.b","MTP more than 12 weeks of pregnancy","M4 [Pregnancy outcome & details of new-born]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","4.3.2.a","Post Abortion/ MTP Complications Identified","M4 [Pregnancy outcome & details of new-born]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","4.3.2.b","Post Abortion/ MTP Complications Treated","M4 [Pregnancy outcome & details of new-born]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","4.3.3","Number of women provided with post abortion/ MTP contraception","M4 [Pregnancy outcome & details of new-born]","2","NA","2","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","4.4.1","Number of newborns weighed at birth","M4 [Pregnancy outcome & details of new-born]","130","NA","130","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","4.4.2","Number of newborns having weight less than 2.5 kg","M4 [Pregnancy outcome & details of new-born]","10","NA","10","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","4.4.3","Number of Newborns breast fed within 1 hour of birth ","M4 [Pregnancy outcome & details of new-born]","130","NA","130","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","5.1","Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)","M5 [Complicated Pregnancies]","4","NA","4","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","5.2","Number of Complicated pregnancies treated with Blood Transfusion","M5 [Complicated Pregnancies]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","6.1","Women receiving 1st post partum checkups within 48 hours of home delivery","M6 [Post Natal Care (PNC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","6.2","Women receiving 1st post partum checkup between 48 hours and 14 days","M6 [Post Natal Care (PNC)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","6.3","Number of mothers provided full course of 180 IFA tablets after delivery","M6 [Post Natal Care (PNC)]","132","NA","132","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","6.4","Number of mothers provided full course of 360 Calcium tablets after delivery","M6 [Post Natal Care (PNC)]","132","NA","132","NA"
"Madhya Pradesh","East Nimar","Harsud","2021-22","April    ","7.1.1","New RTI/STI cases identified - Male","M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases]","NA","NA","NA","NA"
